symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COST,2022-01-05 05:00:00+00:00,563.69,565.05,549.77,549.92,2902109.0,84587.0,554.194262
COST,2022-01-06 05:00:00+00:00,546.2,553.5172,543.55,549.8,2842021.0,66985.0,549.566051
COST,2022-01-07 05:00:00+00:00,547.55,548.365,534.24,536.18,2613676.0,72371.0,538.335202
COST,2022-01-10 05:00:00+00:00,529.29,530.41,508.5,518.8,5496843.0,136264.0,516.160398
COST,2022-01-11 05:00:00+00:00,518.8,522.47,510.29,522.03,2808109.0,75424.0,519.216117
COST,2022-01-12 05:00:00+00:00,522.03,530.03,522.01,525.8,1951755.0,52664.0,525.954825
COST,2022-01-13 05:00:00+00:00,527.64,529.05,515.23,516.88,2810020.0,65318.0,518.534672
COST,2022-01-14 05:00:00+00:00,511.57,512.98,501.86,502.99,4165661.0,98444.0,506.054781
COST,2022-01-18 05:00:00+00:00,494.461,495.08,486.86,488.07,4521064.0,107181.0,489.916775
COST,2022-01-19 05:00:00+00:00,489.885,496.24,487.1,490.16,3142285.0,66987.0,491.151831
COST,2022-01-20 05:00:00+00:00,490.7496,499.8799,481.84,482.82,3161452.0,81914.0,489.291647
COST,2022-01-21 05:00:00+00:00,481.9238,494.61,481.32,481.61,3820516.0,93995.0,484.688561
COST,2022-01-24 05:00:00+00:00,475.5513,489.97,469.01,488.9,4790973.0,138381.0,481.805236
COST,2022-01-25 05:00:00+00:00,479.9,482.64,472.37,477.32,3394368.0,94631.0,477.407192
COST,2022-01-26 05:00:00+00:00,483.17,493.87,478.77,483.47,3401702.0,92887.0,485.401217
COST,2022-01-27 05:00:00+00:00,486.92,495.7899,480.31,482.52,2681150.0,79286.0,485.47214
COST,2022-01-28 05:00:00+00:00,483.74,492.725,475.901,492.43,2237428.0,64039.0,488.62391
COST,2022-01-31 05:00:00+00:00,492.0,506.42,490.63,505.13,2938635.0,71439.0,502.110206
COST,2022-02-01 05:00:00+00:00,504.805,509.68,496.94,508.41,2724821.0,67120.0,505.832592
COST,2022-02-02 05:00:00+00:00,511.11,523.99,510.34,522.02,2761543.0,73435.0,518.7513
COST,2022-02-03 05:00:00+00:00,515.88,526.44,514.21,521.77,3025540.0,77102.0,521.364409
COST,2022-02-04 05:00:00+00:00,518.11,522.0,510.8034,519.77,2670190.0,67801.0,518.335867
COST,2022-02-07 05:00:00+00:00,521.3,522.0,514.23,515.89,2435744.0,47001.0,516.802694
COST,2022-02-08 05:00:00+00:00,515.89,523.39,510.5,521.15,1656876.0,48674.0,519.144496
COST,2022-02-09 05:00:00+00:00,528.0,534.242,525.68,528.83,2572948.0,59637.0,529.273787
COST,2022-02-10 05:00:00+00:00,520.87,524.47,514.7498,518.48,2858510.0,68267.0,519.432124
COST,2022-02-11 05:00:00+00:00,518.4,521.35,507.38,509.67,2613334.0,67607.0,511.930396
COST,2022-02-14 05:00:00+00:00,508.99,511.53,501.44,506.56,2003439.0,62861.0,506.002476
COST,2022-02-15 05:00:00+00:00,513.34,516.0,510.7632,513.92,2234761.0,42262.0,513.501873
